Run,Profile,Longevity,Efficiency,Final_Heat
34,Balanced,2062,4.025768587271368,1001.1346701174228
34,Plastic,1933,3.828017227074769,1001.0705027006815
35,Stoic,1894,3.831162407252047,1001.080956030061
35,Balanced,1922,3.738559242014703,1000.0965564145569
35,Plastic,1969,3.9184366233591463,1001.0081025093851
36,Stoic,2188,4.258656642982391,1001.0023956877204
36,Balanced,1875,3.689403284205721,1000.3422148198036
36,Plastic,1963,3.7780211115169244,1000.6013295681466
37,Stoic,2037,4.162805996436064,1000.0935360751787
37,Balanced,1955,3.771232602908786,1000.4349676715058
37,Plastic,1996,4.024788566300857,1001.0975588466846
38,Stoic,2096,4.195369083850907,1000.1128297260866
38,Balanced,1969,3.8998236449734263,1000.3324935231553
38,Plastic,1839,3.7418563619877574,1001.1568183005387
39,Stoic,1918,3.6269797037481104,1001.4739575940431
39,Balanced,1922,3.8848787040896466,1001.1677096153771
39,Plastic,1942,3.886554894474917,1000.5733672229356
40,Stoic,1781,3.5337449582951064,1000.5518341261793
40,Balanced,2307,4.463400228588171,1000.3190338779053
40,Plastic,2091,4.101909684169996,1000.0500488957987
41,Stoic,1932,3.8817563466905343,1001.1388322008675
41,Balanced,2041,4.026338552645323,1000.4292987739922
41,Plastic,2004,3.9429582826551313,1001.0349462133242
42,Stoic,2180,4.339159248632757,1000.6155535128586
42,Balanced,1977,3.90142931439948,1001.0989993324539
42,Plastic,1997,4.012410095792881,1000.756884295339
43,Stoic,1953,3.9330821419151296,1000.697858736249
43,Balanced,1923,3.88803676102297,1001.0726494878219
43,Plastic,1952,3.809931489759148,1000.7829626674447
44,Stoic,2007,3.8039830611722647,1000.0983578956168
44,Balanced,2026,4.0060975178732185,1000.7961660451173
44,Plastic,1899,3.86894134230059,1000.9421034598234
45,Stoic,2026,3.9992723961378176,1000.2353689397366
45,Balanced,2045,4.031807781116102,1000.0802311406309
45,Plastic,2056,4.197485619896344,1000.9686495297694
46,Stoic,2092,4.117557314881904,1001.1304288274516
46,Balanced,1953,3.771624967242069,1000.3890262522732
46,Plastic,2194,4.334418886817065,1000.9309698774468
47,Stoic,2181,4.410539498951918,1001.1564940018359
47,Balanced,1946,3.660934420820382,1000.7642024362741
47,Plastic,1897,3.636871328698989,1000.4111590580952
48,Stoic,1948,3.9034614772979417,1001.0020834741532
48,Balanced,2092,4.136831195308092,1000.3398235537261
48,Plastic,2177,4.389104503160894,1000.5213852411221
49,Stoic,1878,3.6124794253087678,1000.4367210667843
49,Balanced,2065,4.049467128375579,1000.1865737883737
49,Plastic,2029,4.0443275222876585,1000.3869667852395
50,Stoic,2123,4.286610063094559,1000.0446101929509
50,Balanced,2114,4.229917533893545,1001.0190191473837
50,Plastic,1985,3.9273479474871453,1000.480812852574
